Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Account,account_score,int,"Account Score",i18n:fields,,yes,yes,,account,account_score,int,"min=0; max=100; default=0"
Account,account_status,enum,"Account Health",i18n:fields,,,yes,,account,account_status,varchar(255),"options=[|Active|Urgent|Renewing|At Risk|Inactive]; default=Active"
Account,account_type,enum,"Account Type",i18n:fields,,,yes,,account,account_type,varchar(255),"options=[|Prospect|Commercial Lines|Personal Lines|Group Benefits|Medicare|Life Insurance|Carrier|MGA]; audited=true"
Account,activePolicyCount,int,"[OLD] Active Policy Count",i18n:fields,,,yes,,account,active_policy_count,int,min=0
Account,agent_of_agency_code,text,"Agent and Agency Code",i18n:fields,,,yes,,account,agent_of_agency_code,mediumtext,
Account,agent_of_record_date,date,"Agent of Record Date",i18n:fields,,yes,yes,,account,agent_of_record_date,date,
Account,ai_assessment,text,"AI Assessment",i18n:fields,,,yes,,account,ai_assessment,mediumtext,
Account,annualPremiumConverted,currencyConverted,"Annual Premium Converted",i18n:fields,,yes,,,account,"(not stored)",,
Account,annualPremiumCurrency,enum,"Annual Premium Currency",i18n:fields,,,,,account,annual_premium_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,annualRevenueConverted,currencyConverted,"Annual Revenue Converted",i18n:fields,,yes,,,account,"(not stored)",,
Account,annualRevenueCurrency,enum,"Annual Revenue Currency",i18n:fields,,,,,account,annual_revenue_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,annual_premium,currency,"Annual Premium",i18n:fields,,,yes,,account,annual_premium|annual_premium_currency,double|varchar(3),
Account,annual_revenue,currency,"Annual Revenue",i18n:fields,,,yes,,account,annual_revenue|annual_revenue_currency,double|varchar(3),
Account,assessment_date,datetime,"Assessment Date",i18n:fields,,,yes,,account,assessment_date,datetime,
Account,assignedUser,link,"Assigned User",i18n:fields,,,,User,account,assigned_user_id,varchar(17),view=views/fields/assigned-user
Account,bbb_rating,text,"Better Business Bureau Rating",i18n:fields,,,yes,,account,bbb_rating,mediumtext,
Account,best_time_to_call,text,"Best Time to Call",i18n:fields,,,yes,,account,best_time_to_call,mediumtext,
Account,billingAddress,address,"Billing Address",i18n:fields,,,,,account,billing_address_street|billing_address_city|billing_address_state|billing_address_country|billing_address_postal_code,varchar(255)|varchar(100)|varchar(100)|varchar(100)|varchar(40),
