module,source,field_name,espo_type,db_type,api_payload,options_or_link_target,constraints,use_case
Account,live metadata,name,varchar,,string,,required; maxLength=249; audited,Short free-text identifier or label
Account,live metadata,website,url,,string (URL),,,Hyperlink to external resource
Account,live metadata,emailAddress,email,,emailAddress (primary) + emailAddressData[] for multiple,,PII,Email contact info
Account,live metadata,phoneNumber,phone,,phoneNumber (primary) + phoneNumberData[] for multiple,,,Phone contact info
Account,live metadata,type,enum,,string (one of options),Commercial Lines | Personal Lines | Group Benefits | Prospect,read-only,Pick-list / status
Account,live metadata,industry,enum,,string (one of options),Advertising | Aerospace | Agriculture | Apparel & Accessories | Architecture | Automotive | Banking | Biotechnology | Building Materials & Equipment | Chemical | Computer | Construction | ... (52 total),,Pick-list / status
Account,live metadata,sicCode,varchar,,string,,maxLength=20; custom field,Short free-text identifier or label
Account,live metadata,contactRole,varchar,,string,,not stored (computed); maxLength=100,Short free-text identifier or label
Account,live metadata,contactIsInactive,bool,,boolean,,not stored (computed); default=False,Flag / checkbox
Account,live metadata,billingAddress,address,,"billingAddressStreet, billingAddressCity, billingAddressState, billingAddressPostalCode, billingAddressCountry, billingAddressMap",,,Postal address
Account,live metadata,billingAddressStreet,text,varchar,string (multi-line),,maxLength=255,"Notes, descriptions, multi-line content"
Account,live metadata,billingAddressCity,varchar,,string,,maxLength=100,Short free-text identifier or label
Account,live metadata,billingAddressState,varchar,,string,,maxLength=100,Short free-text identifier or label
Account,live metadata,billingAddressCountry,varchar,,string,,maxLength=100,Short free-text identifier or label
Account,live metadata,billingAddressPostalCode,varchar,,string,,maxLength=40,Short free-text identifier or label
Account,live metadata,shippingAddress,address,,"shippingAddressStreet, shippingAddressCity, shippingAddressState, shippingAddressPostalCode, shippingAddressCountry, shippingAddressMap",,,Postal address
Account,live metadata,shippingAddressStreet,text,varchar,string (multi-line),,maxLength=255,"Notes, descriptions, multi-line content"
Account,live metadata,shippingAddressCity,varchar,,string,,maxLength=100,Short free-text identifier or label
Account,live metadata,shippingAddressState,varchar,,string,,maxLength=100,Short free-text identifier or label
Account,live metadata,shippingAddressCountry,varchar,,string,,maxLength=100,Short free-text identifier or label
Account,live metadata,shippingAddressPostalCode,varchar,,string,,maxLength=40,Short free-text identifier or label
Account,live metadata,description,text,,string (multi-line),,,"Notes, descriptions, multi-line content"
Account,live metadata,campaign,link,,"campaignId (string), campaignName (string, read-only mirror)",belongsTo -> Campaign,,FK to a single related record
Account,live metadata,createdAt,datetime,,string (ISO 8601 UTC),,read-only,System-managed audit/ownership field
Account,live metadata,modifiedAt,datetime,,string (ISO 8601 UTC),,read-only,System-managed audit/ownership field
Account,live metadata,createdBy,link,,"createdById (string), createdByName (string, read-only mirror)",belongsTo -> User,read-only,System-managed audit/ownership field
Account,live metadata,modifiedBy,link,,"modifiedById (string), modifiedByName (string, read-only mirror)",belongsTo -> User,read-only,System-managed audit/ownership field
Account,live metadata,assignedUser,link,,"assignedUserId (string), assignedUserName (string, read-only mirror)",belongsTo -> User,,System-managed audit/ownership field
Account,live metadata,teams,linkMultiple,,"teamsIds (array), teamsNames (object map)",hasMany -> Team,,System-managed audit/ownership field
Account,live metadata,targetLists,linkMultiple,,"targetListsIds (array), targetListsNames (object map)",hasMany -> TargetList,,M:N relation
Account,live metadata,targetList,link,,"targetListId (string), targetListName (string, read-only mirror)",,not stored (computed),FK to a single related record
Account,live metadata,originalLead,linkOne,,see Espo docs,,read-only,Custom field — refer to layout/docs
Account,live metadata,targetListIsOptedOut,bool,,boolean,,read-only; not stored (computed),Flag / checkbox
Account,live metadata,momentumClientId,varchar,,string,,maxLength=255; custom field,NowCerts/Momentum AMS insured database_id — dedup key
Account,live metadata,fein,varchar,,string,,maxLength=20; custom field,Federal Employer Identification Number — commercial accounts only
Account,live metadata,csrName,varchar,,string,,maxLength=255; custom field,Short free-text identifier or label
Account,live metadata,momentumLastSynced,datetime,,string (ISO 8601 UTC),,custom field,Timestamp
Account,live metadata,policies,linkMultiple,,"policiesIds (array), policiesNames (object map)",hasMany -> Policy,custom field,M:N relation
Account,live metadata,commissions,linkMultiple,,"commissionsIds (array), commissionsNames (object map)",hasMany -> Commission,custom field,M:N relation
Account,live metadata,renewals,linkMultiple,,"renewalsIds (array), renewalsNames (object map)",hasMany -> Renewal,custom field,M:N relation
Account,live metadata,accountType,enum,,string (one of options),Prospect | Commercial Lines | Personal Lines | Group Benefits | Medicare | Life Insurance,audited; custom field,Pick-list / status
Account,live metadata,lob,multiEnum,,array of strings,Commercial Auto | GL | Workers Comp | Cargo | Home | Auto | Life | Medicare | BOP | Umbrella | Professional Liability | Builders Risk | ... (13 total),custom field,Multi-select tags
Account,live metadata,xDate,date,,string (YYYY-MM-DD),,custom field,Calendar date
Account,live metadata,estimatedPremium,currency,,"estimatedPremium (number), estimatedPremiumCurrency (string ISO code)",,custom field,Monetary amount with currency code
Account,live metadata,annualPremium,currency,,"annualPremium (number), annualPremiumCurrency (string ISO code)",,custom field,Monetary amount with currency code
Account,live metadata,renewalDate,date,,string (YYYY-MM-DD),,custom field,Calendar date
Account,live metadata,carrier,varchar,,string,,maxLength=100; custom field,Short free-text identifier or label
Account,live metadata,accountStatus,enum,,string (one of options),Active | Urgent | Renewing | At Risk | Inactive,custom field; default='Active',Pick-list / status
Account,live metadata,stage,enum,,string (one of options),New | Qualified | Proposal | Negotiation | Closed Won | Closed Lost,custom field,Pick-list / status
Account,live metadata,intelRun,bool,,boolean,,custom field; default=False,Whether an intel pack has been run on this account
Account,live metadata,intelRunDate,datetime,,string (ISO 8601 UTC),,custom field,Timestamp
Account,live metadata,intelRunBy,varchar,,string,,maxLength=100; custom field,Short free-text identifier or label
Account,live metadata,intelSourcesHit,int,,integer,,custom field,Numeric counter / quantity
Account,live metadata,intelConfidence,enum,,string (one of options),High | Medium | Low,custom field,Pick-list / status
Account,live metadata,intelAiSummary,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelPainPoints,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelCrossSell,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelGrowthIndicator,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,insightSignal,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,insightObjection,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,insightOpener,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,insightRelationship,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelLegalName,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelDba,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelNaics,text,,string (multi-line),,custom field,"Notes, descriptions, multi-line content"
Account,live metadata,intelSic,varchar,,string,,maxLength=20; custom field,Short free-text identifier or label
